yearID,lgID,league_wide_ERA,DH Rule
2016,AL,4.52103095645736,DH
1993,NL,4.521148979524764,DH
1949,AL,4.7513024403619415,NO DH
1969,AL,4.092934679108741,NO DH
2010,AL,4.463718652619083,DH
2003,NL,4.6409109921968525,DH
2002,NL,4.497468080502056,DH
1957,AL,4.214200119832235,NO DH
1950,NL,4.7085894214175426,NO DH
1980,AL,4.5155668497417825,DH
2003,AL,4.922076637824475,DH
1959,NL,4.449761631766339,NO DH
2020,NL,4.898344026356858,DH
2005,AL,4.734588701684837,DH
2013,AL,4.307254883976887,DH
1977,NL,4.39646017699115,DH
2022,AL,4.264410291298163,DH
1989,AL,4.340121896833655,DH
1966,NL,4.096944151738673,NO DH
1982,AL,4.498008359970494,DH
2021,AL,4.6965869347989,DH
1969,NL,4.08400751504927,NO DH
1980,NL,4.031337351917701,DH
1988,NL,3.8727355936081764,DH
1965,NL,4.030731407498464,NO DH
1966,AL,3.897419384516307,NO DH
1975,AL,4.31460218830204,DH
1964,NL,4.038535689694744,NO DH
2008,NL,4.658847938218598,DH
1998,NL,4.625086058519793,DH
1953,NL,4.851222846726417,NO DH
1952,NL,4.209594051325454,NO DH
2005,NL,4.571381060485562,DH
1981,NL,3.8946026471093793,DH
1997,NL,4.632925765629372,DH
1955,NL,4.570327436045277,NO DH
1951,AL,4.653740614540301,NO DH
1967,NL,3.8375697174727987,NO DH
1981,AL,4.0868768419227814,DH
2004,NL,4.689363172902445,DH
2010,NL,4.397415722226232,DH
1956,NL,4.291202169328111,NO DH
1979,AL,4.724943894938076,DH
1964,AL,4.0686281217926785,NO DH
2014,AL,4.1501620894244295,DH
1987,AL,4.9519533893409475,DH
2018,AL,4.60165892093195,DH
1956,AL,4.695935941985194,NO DH
2016,NL,4.516731708816028,DH
1954,NL,4.592408891577197,NO DH
2011,NL,4.1708828084667005,DH
1974,AL,4.11401062163298,DH
2009,NL,4.529871854075272,DH
1947,AL,4.193661971830986,NO DH
1983,AL,4.516197426162418,DH
1972,AL,3.4808550669522225,NO DH
1994,NL,4.652751335035988,DH
1992,AL,4.339514978601997,DH
1975,NL,4.133216175431224,DH
1970,AL,4.1830114059723735,NO DH
1970,NL,4.533684311285537,NO DH
2024,AL,4.3999257161428105,DH
1971,AL,3.889115934765007,NO DH
2012,AL,4.427902390929258,DH
1996,NL,4.7122578737246785,DH
1978,NL,4.0198846153846155,DH
1991,NL,4.1175737591779615,DH
1958,NL,4.423405992079088,NO DH
2002,AL,4.848145209283873,DH
1946,AL,4.0980835291990605,NO DH
1946,NL,3.9930835388223973,NO DH
2000,AL,5.339854029094881,DH
2011,AL,4.453114215283484,DH
1997,AL,4.980262397887614,DH
1948,AL,4.7868444228491605,NO DH
1951,NL,4.479827864443249,NO DH
1985,AL,4.600326991676575,DH
2015,NL,4.238179306109917,DH
1998,AL,5.060048857784234,DH
2009,AL,4.815118968935889,DH
1952,AL,4.179424481884598,NO DH
1949,NL,4.5788003484215904,NO DH
1953,AL,4.48521744371779,NO DH
1992,NL,3.8770523027694184,DH
1967,AL,3.6932770231708707,NO DH
1976,AL,3.994485259040168,DH
1989,NL,3.938462415877723,DH
1993,AL,4.7504903819209785,DH
1978,AL,4.244387502066457,DH
2012,NL,4.305659504991981,DH
1991,AL,4.491610244333235,DH
1976,NL,3.989784617734667,DH
2007,NL,4.795904906655961,DH
1988,AL,4.395006687472136,DH
2023,NL,4.737311906274699,DH
1961,NL,4.570737605804111,NO DH
1963,AL,4.0813881571412205,NO DH
1984,NL,4.077323334736198,DH
1968,AL,3.4210719193770043,NO DH
2018,NL,4.3519126517523095,DH
