yearID,lgID,league_wide_SLG,DH Rule
1979,AL,0.4083880892782645,DH
1972,AL,0.3430127041742287,NO DH
1958,NL,0.40514438934105307,NO DH
2017,AL,0.4287641207216321,DH
2012,AL,0.41099216136988775,DH
2012,NL,0.40032341084565104,DH
1954,AL,0.37333269703405,NO DH
2009,AL,0.4280125697428333,DH
2014,AL,0.39012066455734273,DH
1980,NL,0.37447187349106714,NO DH
1981,NL,0.3639299949603702,NO DH
1997,NL,0.4101654080799969,NO DH
1963,NL,0.3638669415907888,NO DH
2021,NL,0.4068284452384497,DH
1957,NL,0.3997996225447937,NO DH
1977,AL,0.4051374959560013,DH
1960,NL,0.38792204097116845,NO DH
1988,NL,0.3625825541845248,NO DH
1964,NL,0.3740684465668186,NO DH
1952,NL,0.3737284493051244,NO DH
1968,NL,0.34121246335111904,NO DH
2022,NL,0.3979228159561048,DH
1972,NL,0.3645985170162875,NO DH
1952,AL,0.36547959448921236,NO DH
1950,AL,0.4024807225222251,NO DH
1978,NL,0.3715544232304009,NO DH
1999,AL,0.4391751785577145,DH
1970,AL,0.3788351732013704,NO DH
1990,NL,0.38286745088527774,NO DH
1974,NL,0.3667462091463783,NO DH
2015,AL,0.41220000965763676,DH
2020,AL,0.4142283419391853,DH
1995,AL,0.42700152469721814,DH
1946,AL,0.36414214351665525,NO DH
1982,AL,0.4023444521480112,DH
1978,AL,0.38466974650246694,DH
1976,NL,0.3611237730574042,NO DH
1973,NL,0.37585304220194593,NO DH
1992,AL,0.3850052497180707,DH
2024,NL,0.40391101586567146,DH
1959,AL,0.3840911257268135,NO DH
2017,NL,0.423042904050501,DH
1983,AL,0.4006502100975315,DH
1954,NL,0.40702405596402313,NO DH
1984,AL,0.39776665383134385,DH
2006,AL,0.43687019886110295,DH
2020,NL,0.42117078812204495,DH
1951,AL,0.3813413281084016,NO DH
2004,AL,0.4331965807623427,DH
1967,AL,0.35135384558592814,NO DH
1989,AL,0.383746298893564,DH
1975,NL,0.36909624519681705,NO DH
2010,AL,0.40675384357210165,DH
1973,AL,0.381450298750679,DH
2016,NL,0.41207720699461486,DH
2006,NL,0.427457115843501,DH
2002,AL,0.42416568108191494,DH
2014,NL,0.38258719132996327,DH
2010,NL,0.3993923946931252,DH
1993,AL,0.4076845663561531,DH
1990,AL,0.3875911458333333,DH
1946,NL,0.355490093600038,NO DH
1987,NL,0.4035095660570946,NO DH
1969,AL,0.369384765625,NO DH
1985,NL,0.37380351879425083,NO DH
1962,AL,0.3939607885732906,NO DH
2007,AL,0.4227910184688482,DH
1961,AL,0.3947435523823401,NO DH
1997,AL,0.42813318847063336,DH
1970,NL,0.3919506507184232,NO DH
1991,NL,0.37258471659144804,NO DH
1968,AL,0.3392541287307528,NO DH
2007,NL,0.4226106001854977,DH
2019,NL,0.43074108840590175,DH
1971,AL,0.36411874816293066,NO DH
1995,NL,0.40750771191472723,NO DH
1994,AL,0.4340555817239755,DH
1965,AL,0.36928369081343587,NO DH
2023,NL,0.41649816064511413,DH
1947,NL,0.3903944949804402,NO DH
1981,AL,0.37256213960994233,DH
1960,AL,0.38756632726229745,NO DH
1991,AL,0.39483009677460923,DH
1953,AL,0.3832097832758865,NO DH
1956,NL,0.40086979378240817,NO DH
1951,NL,0.38965904833270887,NO DH
2004,NL,0.42296495226918823,DH
2019,AL,0.43893390140861926,DH
2024,AL,0.394494850416871,DH
1963,AL,0.37981494610168876,NO DH
1957,AL,0.3823088098697216,NO DH
1958,AL,0.3830966318011707,NO DH
1980,AL,0.3990987058340181,DH
2018,NL,0.403338894127318,DH
1948,NL,0.3825492237788716,NO DH
1966,NL,0.3838403899972917,NO DH
1976,AL,0.3607919526411103,DH
2022,AL,0.39180600371565466,DH
1979,NL,0.3848202396804261,NO DH
1966,AL,0.36864391109796235,NO DH
1947,AL,0.36445883529355744,NO DH
1992,NL,0.36820891890247615,NO DH
2016,AL,0.4227142271422714,DH
1998,NL,0.41018038331454343,NO DH
1996,AL,0.4449993678088254,DH
2005,AL,0.42438151249760275,DH
1975,AL,0.37900598124550644,DH
1983,NL,0.37579317376021426,NO DH
1985,AL,0.4055813712673285,DH
2003,AL,0.4275772241447562,DH
1959,NL,0.3999055043704229,NO DH
1962,NL,0.39281141228876987,NO DH
2003,NL,0.4171736819487481,DH
1984,NL,0.36936239930824194,NO DH
1993,NL,0.3988824220211901,NO DH
2008,AL,0.4200258579858933,DH
1955,NL,0.4069135566035477,NO DH
1967,NL,0.36330098498891433,NO DH
2009,NL,0.40866369304992944,DH
2021,AL,0.41468212498616863,DH
2013,NL,0.38851130729229655,DH
1999,NL,0.42918290997741854,NO DH
2018,AL,0.41549993954781766,DH
1989,NL,0.36517920901894646,NO DH
1986,AL,0.4079171836228288,DH
2002,NL,0.41000523953800944,DH
1961,NL,0.4050987466767945,NO DH
1956,AL,0.39393434427595403,NO DH
